"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.tpee.urssaf.fr/193.178.136.212","443","DEBUG","Couldn't determine service, skipping all HTTP checks","",""
"pre_128cipher","www.tpee.urssaf.fr/193.178.136.212","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.tpee.urssaf.fr/193.178.136.212","443","OK","not offered","",""
"SSLv3","www.tpee.urssaf.fr/193.178.136.212","443","OK","not offered","",""
"TLS1","www.tpee.urssaf.fr/193.178.136.212","443","INFO","not offered","",""
"TLS1_1","www.tpee.urssaf.fr/193.178.136.212","443","INFO","not offered","",""
"TLS1_2","www.tpee.urssaf.fr/193.178.136.212","443","OK","offered","",""
"TLS1_3","www.tpee.urssaf.fr/193.178.136.212","443","OK","offered with final","",""
"ALPN","www.tpee.urssaf.fr/193.178.136.212","443","INFO","not offered","",""
"cipherlist_NULL","www.tpee.urssaf.fr/193.178.136.212","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.tpee.urssaf.fr/193.178.136.212","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.tpee.urssaf.fr/193.178.136.212","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.tpee.urssaf.fr/193.178.136.212","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.tpee.urssaf.fr/193.178.136.212","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.tpee.urssaf.fr/193.178.136.212","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.tpee.urssaf.fr/193.178.136.212","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.tpee.urssaf.fr/193.178.136.212","443","OK","offered","",""
"cipher_order-tls1_2","www.tpee.urssaf.fr/193.178.136.212","443","OK","server","",""
"cipherorder_TLSv1_2","www.tpee.urssaf.fr/193.178.136.212","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.tpee.urssaf.fr/193.178.136.212","443","OK","server","",""
"FS","www.tpee.urssaf.fr/193.178.136.212","443","OK","offered","",""
"FS_ciphers","www.tpee.urssaf.fr/193.178.136.212","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_KEMs","www.tpee.urssaf.fr/193.178.136.212","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","www.tpee.urssaf.fr/193.178.136.212","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","www.tpee.urssaf.fr/193.178.136.212","443","INFO","'server name/#0' 'EC point formats/#11' 'extended master secret/#23' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.tpee.urssaf.fr/193.178.136.212","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.tpee.urssaf.fr/193.178.136.212","443","INFO","yes","",""
"sessionresumption_ticket","www.tpee.urssaf.fr/193.178.136.212","443","INFO","not supported","",""
"sessionresumption_ID","www.tpee.urssaf.fr/193.178.136.212","443","INFO","supported","",""
"TLS_timestamp","www.tpee.urssaf.fr/193.178.136.212","443","INFO","random","",""
"certificate_compression","www.tpee.urssaf.fr/193.178.136.212","443","INFO","none","",""
"clientAuth","www.tpee.urssaf.fr/193.178.136.212","443","INFO","none","",""
"cert_numbers","www.tpee.urssaf.fr/193.178.136.212","443","INFO","1","",""
"cert_signatureAlgorithm","www.tpee.urssaf.fr/193.178.136.212","443","OK","SHA256 with RSA","",""
"cert_keySize","www.tpee.urssaf.fr/193.178.136.212","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.tpee.urssaf.fr/193.178.136.212","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.tpee.urssaf.fr/193.178.136.212","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.tpee.urssaf.fr/193.178.136.212","443","INFO","08676FA434BAD095F40BB2AD036ADA81","",""
"cert_serialNumberLen","www.tpee.urssaf.fr/193.178.136.212","443","INFO","16","",""
"cert_fingerprintSHA1","www.tpee.urssaf.fr/193.178.136.212","443","INFO","4425FB203FA9C456FE3D32BC5BFF7420FB7FE140","",""
"cert_fingerprintSHA256","www.tpee.urssaf.fr/193.178.136.212","443","INFO","84B3A86DD025A5C3396D35D464DCCB27AA7DF3120D0C11FAD9ACFEDB7793FC3E","",""
